16.53	-0.052
16.54	-0.053
16.56	-0.061
16.57	-0.064
16.59	-0.071
16.60	-0.072
16.61	-0.075
16.61	
16.72	-0.101
16.73	-0.103
16.73	-0.104
16.74	
16.85	-0.113
16.85	
16.96	-0.108
16.97	-0.107
16.97	-0.106
16.98	
17.09	-0.083
17.09	-0.081
17.10	-0.079
17.11	-0.077
17.12	-0.075
17.12	-0.073
17.13	
17.24	-0.037
17.24	-0.035
17.25	-0.032
17.26	-0.030
17.26	-0.027
17.27	-0.025
17.28	-0.023
17.28	
17.39	0.019
17.40	
17.51	0.058
17.51	0.060
17.52	0.062
17.53	0.064
17.53	0.066
17.54	
17.64	0.095
17.65	0.097
17.66	0.099
17.67	0.100
17.68	
17.78	0.115
17.79	0.116
17.80	0.116
17.80	0.117
17.81	0.117
17.82	
17.92	0.116
17.93	0.115
17.94	0.115
17.94	0.114
17.95	0.113
17.96	0.113
17.97	0.112
17.97	0.111
17.98	0.110
17.99	0.109
17.99	0.108
18.00	0.107
18.01	
18.12	0.084
18.12	0.083
18.13	0.080
18.14	
18.24	0.047
18.25	0.044
18.26	
18.36	0.005
18.37	0.003
18.38	0.000
18.39	
18.49	-0.040
18.50	-0.043
18.51	-0.044
18.51	-0.047
18.52	-0.049
18.53	-0.052
18.53	-0.055
18.54	
18.65	-0.087
18.66	-0.088
18.67	-0.090
18.67	-0.092
18.68	-0.093
18.69	-0.095
18.70	
18.80	-0.109
18.81	-0.109
18.82	-0.110
18.82	-0.111
18.83	
18.94	-0.107
18.94	-0.105
18.95	-0.105
18.96	-0.104
18.96	-0.103
18.97	-0.103
18.98	-0.101
18.98	-0.100
18.99	-0.099
19.00	
19.10	-0.075
19.11	-0.072
19.12	
19.23	-0.037
19.23	-0.035
19.24	-0.032
19.25	-0.029
19.25	-0.027
19.26	-0.025
19.27	-0.023
19.28	
19.38	0.019
19.39	0.021
19.40	0.024
19.41	0.027
19.42	0.029
19.42	0.032
19.43	
19.54	0.068
19.54	
19.65	0.095
19.66	0.096
19.67	0.097
19.67	0.099
19.68	0.100
19.69	0.101
19.70	0.103
19.70	0.104
19.71	
19.82	0.113
19.82	0.114
19.83	0.114
19.84	0.114
19.85	0.114
19.86	0.114
19.86	0.114
19.87	
19.98	0.105
19.98	
20.09	0.085
20.10	0.083
20.11	0.081
20.11	
20.22	0.051
20.23	0.048
20.23	0.046
20.24	0.044
20.26	0.037
20.27	0.033
20.28	0.032
20.29	0.027
20.30	
20.41	-0.013
20.41	-0.016
20.42	
20.53	-0.053
20.53	-0.055
20.54	-0.057
20.55	
20.66	-0.088
20.67	-0.089
20.67	-0.091
20.68	-0.092
20.69	-0.093
20.70	-0.095
20.70	-0.096
20.71	-0.097
20.72	-0.099
20.72	-0.099
20.73	-0.100
20.74	
20.84	-0.108
20.85	
20.96	-0.100
20.96	-0.099
20.97	-0.099
20.98	-0.097
20.98	-0.096
20.99	-0.095
21.00	
21.10	-0.071
21.11	
21.22	-0.036
21.22	-0.035
21.23	-0.032
21.24	
21.34	
21.45	0.041
21.46	0.044
21.46	0.046
21.47	0.048
21.48	0.050
21.48	0.052
21.49	0.055
21.50	0.056
21.50	0.059
21.51	0.060
21.52	0.062
21.52	0.064
21.53	0.065
21.54	0.067
21.54	0.069
21.55	0.071
21.56	0.072
21.56	0.074
21.57	
21.68	0.097
21.69	
21.79	0.109
21.80	0.109
21.81	0.109
21.81	0.110
21.82	
21.93	0.107
21.93	0.105
21.94	0.105
21.94	0.104
21.95	0.104
21.96	0.103
21.96	0.103
21.97	
22.08	0.083
22.08	
22.19	
22.30	0.020
22.31	
22.41	-0.019
22.42	
22.53	-0.055
