16.17	0.024	
16.28	0.019	0.001
16.30	0.018	
16.41	0.011	0.004
16.42	0.010	0.004
16.44	0.009	0.005
16.45	0.008	
16.56	-0.002	
16.68	-0.011	0.008
16.69		
16.90		
17.11	-0.032	0.008
17.13	-0.032	
17.24	-0.031	0.005
17.25	-0.030	0.005
17.27	-0.030	0.005
17.28		0.003
17.39	-0.022	0.003
17.41	-0.021	
17.52		-0.001
17.63		-0.003
17.75		-0.004
17.86	0.018	-0.004
17.87	0.020	-0.004
17.89		-0.004
18.00	0.026	-0.004
18.01	0.027	-0.004
18.03	0.028	-0.004
18.04	0.028	-0.004
18.05	0.028	-0.004
18.06	0.028	-0.004
18.07	0.029	
18.19	0.029	-0.003
18.20	0.029	-0.002
18.21	0.028	-0.001
18.22	0.028	-0.001
18.24		0.000
18.35		0.003
18.47	0.017	0.003
18.48	0.016	
18.59	0.006	0.005
18.60	0.005	0.005
18.62	0.004	0.005
18.63	0.003	0.005
18.64		0.007
18.76		0.008
18.87	-0.019	0.008
18.88	-0.019	0.009
18.89		0.009
19.00	-0.028	
19.12	-0.034	0.009
19.13	-0.034	
19.24	-0.035	
19.36	-0.032	0.005
19.37	-0.031	0.005
19.39		
19.60	-0.016	0.001
19.61	-0.015	0.001
19.62	-0.014	0.001
19.64	-0.012	0.000
19.65	-0.011	0.000
19.66	-0.010	0.000
19.68	-0.008	0.000
19.69	-0.007	0.000
19.70		-0.003
19.82	0.006	
19.93		-0.004
20.04	0.025	-0.004
20.05	0.025	-0.004
20.07	0.026	-0.004
20.08	0.026	
20.19	0.030	-0.003
20.20	0.030	-0.003
20.21		-0.002
20.33		0.000
20.44		0.002
20.55	0.020	0.003
20.56	0.018	0.003
20.58	0.018	0.003
20.59		0.005
20.70	0.007	0.005
20.71	0.006	
20.83		0.008
20.94	-0.016	0.008
20.95	-0.018	0.008
20.96	-0.018	0.008
20.98	-0.019	0.009
20.99	-0.020	0.009
21.00	-0.022	0.009
21.02		0.009
21.13		0.008
21.24	-0.035	
21.35	-0.036	0.007
21.37	-0.036	
21.48	-0.034	0.005
21.49	-0.032	0.005
21.51	-0.032	
21.62	-0.024	0.003
21.63	-0.023	0.002
21.64	-0.022	
21.76	-0.011	
21.87	0.001	-0.002
21.88	0.002	
21.99	0.014	
22.10		-0.004
22.22	0.030	-0.004
22.23		-0.003
22.34	0.033	
22.46		0.001
22.57	0.026	
22.68	0.018	0.004
22.70	0.017	0.004
22.71	0.016	
22.82	0.005	0.007
22.84	0.004	0.007
22.85	0.002	0.007
22.86	0.001	0.007
22.88	0.000	0.007
22.89	-0.002	0.007
22.90	-0.003	0.008
22.91	-0.005	
23.03	-0.017	0.009
23.04		0.009
23.15	-0.028	0.009
23.17	-0.030	0.009
23.18	-0.031	0.009
23.19	-0.031	0.009
23.20	-0.032	0.009
23.22	-0.034	0.009
23.23	-0.034	0.009
23.24	-0.035	0.009
23.25		0.008
23.37	-0.039	
23.48	-0.039	0.005
23.49	-0.039	0.005
23.51	-0.039	0.005
23.52	-0.038	
23.63	-0.031	
23.74	-0.022	0.001
23.76	-0.020	0.000
23.77		-0.001
23.89	-0.006	
24.00	0.008	
24.11	0.021	-0.004
24.12	0.022	-0.004
24.14		-0.004
24.25	0.032	
24.36	0.037	
24.47		
24.69	0.026	
24.80	0.016	0.005
24.81		0.008
24.93		0.009
25.04	-0.012	
25.15	-0.026	0.009
25.16	-0.027	0.009
25.18		0.008
25.29	-0.038	0.008
25.30		
25.51	-0.044	
25.63	-0.039	0.003
25.64		0.000
25.75	-0.028	
25.86	-0.015	-0.001
25.88	-0.014	
25.99	0.002	-0.003
26.00	0.004	-0.003
26.01	0.005	-0.003
26.03	0.008	-0.004
26.04	0.009	
26.15	0.024	
26.27	0.034	-0.003
26.28	0.036	-0.003
26.29		-0.001
26.41	0.042	-0.001
26.42	0.042	-0.001
26.43		
26.65	0.037	0.003
26.66	0.036	0.004
26.67	0.034	0.004
26.68	0.034	0.004
26.70	0.033	
26.81		0.008
26.92	0.008	0.008
26.94	0.005	0.008
26.95	0.004	0.008
26.96	0.001	0.008
26.98	0.000	0.008
26.99	-0.002	0.008
27.00		0.009
27.11	-0.019	
27.23	-0.034	0.009
27.24	-0.035	0.008
27.25	-0.036	0.008
27.26	-0.038	
27.38	-0.047	
27.49	-0.050	0.005
27.50		0.003
27.61	-0.047	
27.72		-0.001
27.84	-0.024	-0.002
27.85	-0.022	
27.96	-0.005	-0.003
